sec	CH1	CH2	CH40	CH41	
6.2285	0	-0.0146484	177.515	0.338	
6.229	-0.00244141	-0.0146484	177.515	0.338	
6.2295	-0.00244141	-0.0146484	177.515	0.338	
6.23	-0.00488281	-0.0146484	177.515	0.338	
6.2305	-0.00488281	-0.0146484	177.515	0.338	
6.231	-0.00732422	-0.0146484	177.515	0.338	
6.2315	-0.00976563	-0.0146484	177.515	0.338	
6.232	-0.00976563	-0.0146484	177.515	0.338	
6.2325	-0.012207	-0.0146484	177.515	0.338	
6.233	-0.012207	-0.0146484	177.515	0.338	
6.2335	-0.0146484	-0.0146484	177.515	0.338	
6.234	-0.0146484	-0.0146484	177.515	0.338	
6.2345	-0.0146484	-0.0146484	177.515	0.338	
6.235	-0.012207	-0.0146484	177.515	0.338	
6.2355	-0.012207	-0.0146484	177.515	0.338	
6.236	-0.012207	-0.0146484	177.515	0.338	
6.2365	-0.00976563	-0.0146484	177.515	0.338	
6.237	-0.00732422	-0.0146484	177.515	0.338	
6.2375	-0.00732422	-0.0146484	177.515	0.338	
6.238	-0.00488281	-0.0146484	177.515	0.338	
6.2385	-0.00244141	-0.0146484	177.515	0.338	
6.239	0	-0.0146484	177.515	0.338	
6.2395	0	-0.0146484	177.515	0.338	
6.24	0	-0.0146484	177.515	0.338	
6.2405	0	-0.0146484	177.515	0.338	
6.241	0	-0.0146484	177.515	0.338	
6.2415	0	-0.0146484	177.515	0.338	
6.242	0	-0.0146484	177.515	0.338	
6.2425	0	-0.0146484	177.515	0.338	
6.243	-0.00244141	-0.0146484	177.515	0.338	
6.2435	-0.00244141	-0.0146484	177.515	0.338	
6.244	-0.00244141	-0.0146484	177.515	0.338	
6.2445	-0.00244141	-0.0146484	177.515	0.338	
6.245	-0.00244141	-0.0146484	177.515	0.338	
6.2455	-0.00244141	-0.0146484	177.515	0.338	
6.246	-0.00488281	-0.0146484	177.515	0.338	
6.2465	-0.00488281	-0.0146484	177.515	0.338	
6.247	-0.00488281	-0.0146484	177.515	0.338	
6.2475	-0.00732422	-0.0146484	177.515	0.338	
6.248	-0.00976563	-0.0146484	177.515	0.338	
6.2485	-0.012207	-0.0146484	177.515	0.338	
6.249	-0.012207	-0.0146484	177.515	0.338	
6.2495	-0.0146484	-0.0146484	177.515	0.338	
6.25	-0.0170898	-0.0146484	177.515	0.338	
6.2505	-0.0170898	-0.0146484	177.515	0.338	
6.251	-0.0170898	-0.0146484	177.515	0.338	
6.2515	-0.0170898	-0.0146484	177.515	0.338	
6.252	-0.0170898	-0.0146484	177.515	0.338	
6.2525	-0.0146484	-0.0146484	177.515	0.338	
6.253	-0.012207	-0.0146484	177.515	0.338	
6.2535	-0.00976563	-0.0146484	177.515	0.338	
6.254	-0.00732422	-0.0146484	177.515	0.338	
6.2545	-0.00244141	-0.0146484	177.515	0.338	
6.255	0.00244141	-0.0146484	177.515	0.338	
6.2555	0.00732422	-0.0146484	177.515	0.338	
6.256	0.0146484	-0.0146484	177.515	0.338	
6.2565	0.0195313	-0.0146484	177.515	0.338	
6.257	0.0268555	-0.0146484	177.515	0.338	
6.2575	0.0317383	-0.0146484	177.515	0.338	
6.258	0.0390625	-0.0146484	177.515	0.338	
6.2585	0.0439453	-0.0146484	177.515	0.338	
6.259	0.0512695	-0.0146484	177.515	0.338	
6.2595	0.0585938	-0.0146484	177.515	0.338	
6.26	0.0634766	-0.0146484	177.515	0.338	
6.2605	0.0708008	-0.0146484	177.515	0.338	
6.261	0.0756836	-0.0146484	177.515	0.338	
6.2615	0.0805664	-0.0146484	177.515	0.338	
6.262	0.0878906	-0.0146484	177.515	0.338	
6.2625	0.0927734	-0.0146484	177.515	0.338	
6.263	0.0976563	-0.0146484	177.515	0.338	
6.2635	0.102539	-0.0146484	177.515	0.338	
6.264	0.107422	-0.0146484	177.515	0.338	
6.2645	0.112305	-0.0146484	177.515	0.338	
6.265	0.114746	-0.0146484	177.515	0.338	
6.2655	0.117188	-0.0146484	177.515	0.338	
6.266	0.117188	-0.0146484	177.515	0.338	
6.2665	0.117188	-0.0146484	177.515	0.338	
6.267	0.117188	-0.0146484	177.515	0.338	
6.2675	0.114746	-0.0146484	177.515	0.338	
6.268	0.112305	-0.0146484	177.515	0.338	
